State,County,Percent of Children with Confirmed BLLs ³5 µg/dL
MS,Monroe,0.00%
MS,Montgomery,SD
MS,Neshoba,4.00%
MS,Newton,SD
MS,Noxubee,0.00%
MS,Oktibbeha,SD
MS,Panola,SD
MS,Pearl River,SD
MS,Perry,0.00%
MS,Pike,2.40%
MS,Pontotoc,0.00%
MS,Prentiss,SD
MS,Quitman,SD
MS,Rankin,SD
MS,Scott,SD
MS,Sharkey,0.00%
MS,Simpson,SD
MS,Smith,0.00%
MS,Stone,0.00%
MS,Sunflower,SD
MS,Tallahatchie,SD
MS,Tate,SD
MS,Tippah,0.00%
MS,Tishomingo,0.00%
MS,Tunica,0.00%
MS,Union,0.00%
MS,Walthall,SD
MS,Warren,SD
MS,Washington,SD
MS,Wayne,SD
MS,Webster,SD
MS,Wilkinson,0.00%
MS,Winston,SD
MS,Yalobusha,SD
MS,Yazoo,2.10%
MS,Unknown,0.60%
MO,Adair,SD
MO,Andrew,SD
MO,Atchison,SD
MO,Audrain,SD
MO,Barry,SD
MO,Barton,SD
MO,Bates,SD
MO,Benton,SD
MO,Bollinger,SD
MO,Boone,SD
MO,Buchanan,5.50%
MO,Butler,SD
MO,Caldwell,SD
MO,Callaway,SD
MO,Camden,SD
MO,Cape Girardeau,SD
MO,Carroll,SD
MO,Carter,SD
MO,Cass,SD
MO,Cedar,SD
MO,Chariton,0.00%
MO,Christian,SD
MO,Clark,0.00%
MO,Clay,0.80%
MO,Clinton,SD
MO,Cole,1.20%
MO,Cooper,SD
MO,Crawford,3.30%
MO,Dade,SD
MO,Dallas,0.00%
MO,Daviess,SD
MO,DeKalb,SD
MO,Dent,5.80%
MO,Douglas,SD
MO,Dunklin,SD
MO,Franklin,1.20%
MO,Gasconade,SD
MO,Gentry,0.00%
MO,Greene,1.40%
MO,Grundy,SD
MO,Harrison,SD
MO,Henry,SD
MO,Hickory,0.00%
MO,Holt,SD
MO,Howard,SD
MO,Howell,SD
MO,Iron,12.00%
MO,Jackson,2.00%
MO,Jasper,1.40%
MO,Jefferson,0.50%
MO,Johnson,SD
MO,Knox,SD
MO,Laclede,SD
MO,Lafayette,SD
MO,Lawrence,SD
MO,Lewis,SD
MO,Lincoln,SD
MO,Linn,SD
MO,Livingston,SD
MO,McDonald,0.00%
MO,Macon,SD
MO,Madison,SD
MO,Maries,SD
MO,Marion,5.90%
MO,Mercer,SD
MO,Miller,0.00%
MO,Mississippi,SD
MO,Moniteau,SD
MO,Monroe,SD
MO,Montgomery,SD
MO,Morgan,SD
MO,New Madrid,SD
MO,Newton,SD
MO,Nodaway,3.40%
MO,Oregon,SD
MO,Osage,0.00%
MO,Ozark,0.00%
MO,Pemiscot,SD
MO,Perry,0.00%
MO,Pettis,1.90%
MO,Phelps,SD
MO,Pike,SD
MO,Platte,3.20%
MO,Polk,SD
MO,Pulaski,SD
MO,Putnam,0.00%
MO,Ralls,SD
MO,Randolph,SD
MO,Ray,SD
MO,Reynolds,SD
MO,Ripley,SD
MO,St. Charles,SD
MO,St. Clair,SD
MO,St. Francois,3.80%
MO,St. Louis,1.10%
