State,County,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
HI ,Unknown,0,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Adams,4796,662,35,5.30%,10,1.50%,25,6,SD,SD,SD,0
IL,Alexander,333,63,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Bond,925,151,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Boone,3479,498,13,2.60%,SD,SD,12,SD,0,0,0,0
IL,Brown,368,54,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Bureau,2019,373,18,4.80%,SD,SD,14,0,SD,SD,SD,0
IL,Calhoun,254,31,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Carroll,874,142,6,4.20%,SD,SD,SD,SD,0,SD,0,0
IL,Cass,999,173,10,5.80%,SD,SD,SD,SD,SD,0,SD,0
IL,Champaign,13365,1203,12,1.00%,SD,SD,9,SD,SD,0,0,0
IL,Christian,1985,304,7,2.30%,SD,SD,SD,0,SD,0,SD,0
IL,Clark,1068,185,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Clay,963,162,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Clinton,2597,246,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Coles,2936,592,13,2.20%,SD,SD,10,SD,0,0,SD,0
IL,Cook,362191,88484,1305,1.50%,331,0.40%,974,174,74,30,46,7
IL,Crawford,1184,208,SD,SD,SD,SD,0,SD,0,0,0,0
IL,Cumberland,746,99,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,DeKalb,7041,527,8,1.50%,SD,SD,SD,SD,SD,0,SD,0
IL,De Witt,1032,SD,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Douglas,1530,161,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,DuPage,64399,4779,29,0.60%,7,0.10%,22,6,SD,0,0,0
IL,Edgar,1043,221,9,4.10%,SD,SD,6,SD,SD,0,0,SD
IL,Edwards,469,94,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Effingham,2717,302,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Fayette,1450,220,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Ford,929,124,7,5.60%,SD,SD,SD,SD,0,0,SD,0
IL,Franklin,2697,394,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Fulton,1967,266,8,3.00%,SD,SD,SD,SD,SD,0,0,0
IL,Gallatin,278,24,SD,SD,SD,SD,0,SD,0,0,0,0
IL,Greene,828,163,11,6.70%,SD,SD,7,SD,0,0,0,0
IL,Grundy,3702,433,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Hamilton,538,90,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Hancock,1134,135,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Hardin,189,21,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Henderson,381,41,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Henry,3102,604,18,3.00%,7,1.20%,11,7,0,0,0,0
IL,Iroquois,1815,175,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Jackson,3685,479,7,1.50%,SD,SD,6,SD,0,0,0,0
IL,Jasper,693,64,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Jefferson,2773,301,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Jersey,1298,178,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Jo Daviess,1127,128,7,5.50%,SD,SD,6,0,0,SD,0,0
IL,Johnson,698,56,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Kane,39031,5611,118,2.10%,31,0.60%,87,19,SD,SD,SD,0
IL,Kankakee,7635,772,12,1.60%,8,1.00%,SD,SD,SD,0,SD,SD
IL,Kendall,10107,665,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Knox,3379,596,27,4.50%,8,1.30%,19,SD,SD,SD,0,SD
IL,Lake,47228,4816,31,0.60%,8,0.20%,23,SD,SD,SD,0,0
IL,La Salle,6984,573,25,4.40%,13,2.30%,12,10,SD,0,SD,0
IL,Lawrence,887,129,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Lee,2027,275,8,2.90%,SD,SD,SD,SD,SD,SD,0,0
IL,Livingston,2475,393,7,1.80%,SD,SD,SD,SD,SD,0,0,0
IL,Logan,1755,180,7,3.90%,SD,SD,SD,SD,0,0,0,0
IL,McDonough,1584,96,6,6.30%,SD,SD,SD,SD,0,0,0,0
IL,McHenry,20097,1735,6,0.30%,0,0.00%,6,0,0,0,0,0
IL,McLean,11617,995,16,1.60%,7,0.70%,9,6,0,SD,0,0
IL,Macon,7669,1601,54,3.40%,17,1.10%,37,11,SD,SD,SD,0
IL,Macoupin,2814,474,9,1.90%,SD,SD,8,SD,0,0,0,0
IL,Madison,17702,2425,39,1.60%,14,0.60%,25,6,SD,SD,SD,SD
IL,Marion,2837,390,SD,SD,SD,SD,SD,0,0,SD,0,0
IL,Marshall,748,99,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Mason,792,121,SD,SD,SD,SD,SD,SD,SD,0,0,0
IL,Massac,897,104,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Menard,775,64,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Mercer,901,165,SD,SD,SD,SD,SD,SD,0,SD,0,0
IL,Monroe,2435,216,SD,SD,SD,SD,SD,0,0,SD,SD,0
IL,Montgomery,1761,221,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Morgan,1991,342,7,2.00%,0,0.00%,7,0,0,0,0,0
IL,Moultrie,1056,139,6,4.30%,SD,SD,SD,SD,0,0,0,0
IL,Ogle,3328,432,11,2.50%,SD,SD,9,SD,0,0,0,0
IL,Peoria,14502,2623,53,2.00%,19,0.70%,34,12,SD,SD,SD,0
IL,Perry,1177,195,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Piatt,1141,120,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Pike,1163,214,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Pope,126,14,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Pulaski,340,49,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Putnam,329,40,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Randolph,1889,313,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Richland,1140,116,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Rock Island,10330,2216,58,2.60%,20,0.90%,38,8,SD,SD,SD,0
IL,St. Clair,19253,2304,17,0.70%,SD,SD,12,SD,0,0,0,SD
IL,Saline,1684,115,SD,SD,SD,SD,0,SD,0,0,0,0
IL,Sangamon,13421,1592,26,1.60%,12,0.80%,14,SD,SD,SD,SD,0
IL,Schuyler,350,43,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Scott,292,50,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Shelby,1421,181,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Stark,349,94,SD,SD,SD,SD,SD,SD,0,SD,0,0
IL,Stephenson,2949,727,67,9.20%,32,4.40%,35,17,10,SD,SD,0
IL,Tazewell,8657,944,7,0.70%,SD,SD,SD,SD,SD,0,0,0
IL,Union,1100,159,9,5.70%,SD,SD,6,SD,SD,0,0,0
IL,Vermilion,5573,1076,33,3.10%,7,0.70%,26,6,0,0,SD,0
IL,Wabash,789,158,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Warren,1198,222,15,6.80%,SD,SD,11,SD,0,SD,SD,0
IL,Washington,923,97,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Wayne,1171,176,7,4.00%,SD,SD,SD,SD,0,0,0,0
IL,White,874,91,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Whiteside,3704,499,9,1.80%,SD,SD,6,SD,SD,SD,0,0
IL,Will,47732,4790,29,0.60%,7,0.10%,22,SD,SD,SD,SD,0
IL,Williamson,4581,383,SD,SD,SD,SD,0,SD,SD,0,0,0
IL,Winnebago,21347,3874,143,3.70%,34,0.90%,109,20,8,SD,SD,SD
IL,Woodford,2618,364,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Unknown,0,19046,319,1.70%,86,0.50%,233,48,17,9,SD,8
IA,Adair,523,95,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Adams,232,65,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Allamakee,1132,357,12,3.40%,6,1.70%,6,SD,SD,SD,SD,0
IA,Appanoose,833,144,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Audubon,395,87,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Benton,1891,342,7,2.00%,SD,SD,SD,SD,0,SD,SD,0
IA,Black Hawk,9732,2662,32,1.20%,17,0.60%,15,9,SD,SD,SD,SD
IA,Boone,1665,398,SD,SD,SD,SD,SD,SD,0,SD,0,0
IA,Bremer,1758,501,SD,SD,SD,SD,SD,0,0,0,SD,0
IA,Buchanan,1690,381,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Buena Vista,1767,611,7,1.10%,SD,SD,SD,SD,0,0,SD,0
IA,Butler,888,290,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Calhoun,633,171,SD,SD,SD,SD,0,0,0,0,SD,0
IA,Carroll,1503,420,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Cass,835,191,8,4.20%,SD,SD,SD,SD,0,0,0,0
IA,Cedar,1139,230,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Cerro Gordo,2783,687,8,1.20%,SD,SD,6,SD,0,0,0,0
IA,Cherokee,745,207,7,3.40%,SD,SD,SD,SD,0,0,SD,0
IA,Chickasaw,853,198,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Clarke,731,222,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Clay,1170,274,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Clayton,1112,268,7,2.60%,SD,SD,6,0,0,0,SD,0
IA,Clinton,3371,1037,18,1.70%,10,1.00%,8,SD,SD,SD,0,0
IA,Crawford,1375,279,SD,SD,SD,SD,SD,SD,0,SD,0,0
IA,Dallas,8444,1814,6,0.30%,SD,SD,SD,0,SD,0,0,0
IA,Davis,966,104,SD,SD,SD,SD,0,0,SD,0,0,0
IA,Decatur,570,95,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Delaware,1224,267,6,2.20%,SD,SD,SD,SD,0,SD,0,0
IA,Des Moines,2685,418,18,4.30%,10,2.40%,8,SD,SD,SD,0,0
IA,Dickinson,1052,200,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Dubuque,7289,1314,36,2.70%,16,1.20%,20,SD,SD,SD,0,SD
IA,Emmet,558,164,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Fayette,1268,353,12,3.40%,SD,SD,10,SD,0,0,0,0
IA,Floyd,1130,217,7,3.20%,SD,SD,SD,SD,0,0,0,0
IA,Franklin,714,176,SD,SD,SD,SD,0,SD,SD,SD,0,0
IA,Fremont,465,64,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Greene,624,106,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Grundy,813,259,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Guthrie,671,90,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Hamilton,1109,332,6,1.80%,SD,SD,SD,SD,0,0,SD,0
IA,Hancock,702,144,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Hardin,967,245,8,3.30%,SD,SD,SD,SD,SD,0,SD,0
IA,Harrison,989,190,SD,SD,SD,SD,0,SD,SD,SD,0,0
IA,Henry,1305,295,6,2.00%,SD,SD,SD,SD,0,0,0,0
IA,Howard,753,204,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Humboldt,712,124,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Ida,486,121,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Iowa,1132,176,6,3.40%,SD,SD,SD,0,SD,0,SD,0
IA,Jackson,1316,346,6,1.70%,SD,SD,SD,SD,0,0,0,0
IA,Jasper,2533,534,8,1.50%,SD,SD,6,SD,0,SD,0,0
IA,Jefferson,952,197,8,4.10%,SD,SD,SD,SD,SD,0,0,0
IA,Johnson,10434,2215,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Jones,1245,337,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Keokuk,691,192,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Kossuth,1037,173,SD,SD,SD,SD,SD,SD,SD,SD,0,0
IA,Lee,2300,505,29,5.70%,17,3.40%,12,7,9,SD,0,0
IA,Linn,16716,3940,58,1.50%,19,0.50%,39,12,SD,SD,0,SD
IA,Louisa,808,152,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Lucas,652,129,SD,SD,SD,SD,0,0,0,0,SD,0
IA,Lyon,1065,200,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Madison,1127,188,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Mahaska,1777,410,SD,SD,SD,SD,SD,SD,0,0,SD,0
IA,Marion,2274,388,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Marshall,3053,1103,22,2.00%,7,0.60%,15,SD,SD,SD,0,0
IA,Mills,932,168,SD,SD,SD,SD,0,SD,SD,0,0,0
IA,Mitchell,776,164,6,3.70%,SD,SD,SD,SD,SD,0,0,0
IA,Monona,610,145,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Monroe,553,159,SD,SD,SD,SD,0,0,SD,0,0,0
IA,Montgomery,741,211,SD,SD,SD,SD,SD,0,0,SD,0,0
IA,Muscatine,3219,704,16,2.30%,8,1.10%,8,6,0,SD,0,0
IA,O'Brien,1026,187,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Osceola,417,58,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Page,850,121,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Palo Alto,647,105,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Plymouth,1923,515,SD,SD,SD,SD,SD,SD,SD,0,SD,0
IA,Pocahontas,475,137,SD,SD,SD,SD,SD,0,SD,0,0,0
IA,Polk,40722,9136,41,0.40%,12,0.10%,29,6,SD,0,SD,0
IA,Pottawattamie,6834,1308,13,1.00%,SD,SD,9,SD,SD,0,SD,0
IA,Poweshiek,1076,180,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Ringgold,333,75,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Sac,697,210,SD,SD,SD,SD,0,SD,SD,0,0,0
IA,Scott,12817,2882,51,1.80%,9,0.30%,42,6,SD,SD,0,0
IA,Shelby,749,218,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Sioux,2961,888,9,1.00%,SD,SD,7,SD,0,0,SD,0
IA,Story,5074,1123,10,0.90%,0,0.00%,10,0,0,0,0,0
IA,Tama,1341,366,15,4.10%,8,2.20%,7,7,0,0,SD,0
IA,Taylor,433,89,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Union,794,224,7,3.10%,SD,SD,SD,SD,SD,0,0,0
IA,Van Buren,535,95,SD,SD,SD,SD,SD,SD,SD,0,0,0
IA,Wapello,2707,1165,17,1.50%,7,0.60%,10,SD,0,SD,0,0
IA,Warren,3884,772,SD,SD,SD,SD,SD,0,0,0,SD,0
IA,Washington,1741,389,SD,SD,SD,SD,SD,0,SD,0,0,0
IA,Wayne,543,71,7,9.90%,SD,SD,SD,SD,SD,0,0,0
IA,Webster,2553,641,SD,SD,SD,SD,SD,0,SD,0,0,SD
IA,Winnebago,650,158,SD,SD,SD,SD,0,0,SD,0,0,0
IA,Winneshiek,1077,293,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Woodbury,8642,2372,32,1.30%,14,0.60%,18,7,SD,SD,SD,0
IA,Worth,534,126,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Wright,981,240,12,5.00%,6,2.50%,6,SD,SD,0,0,SD
IA,Unknown,0,SD,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Allen,866,67,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Anderson,645,47,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Atchison,1087,89,8,9.00%,SD,SD,SD,0,SD,0,SD,0
KS,Barber,330,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Barton,1882,191,SD,SD,SD,SD,SD,0,SD,SD,0,0
KS,Bourbon,1155,116,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Brown,765,52,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Butler,4779,224,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Chase,159,14,SD,SD,SD,SD,0,0,0,SD,0,0
KS,Chautauqua,220,50,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Cherokee,1421,206,6,2.90%,SD,SD,SD,0,0,0,SD,0
KS,Cheyenne,205,31,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Clark,143,12,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Clay,580,82,SD,SD,SD,SD,SD,SD,0,0,SD,0
KS,Cloud,625,78,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Coffey,496,70,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Comanche,101,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Cowley,2421,291,8,2.70%,SD,SD,7,SD,0,0,0,0
KS,Crawford,2817,451,9,2.00%,SD,SD,8,0,SD,0,0,0
KS,Decatur,189,26,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Dickinson,1175,158,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Doniphan,516,56,SD,SD,SD,SD,SD,0,SD,0,0,0
KS,Douglas,6932,415,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Edwards,188,20,SD,SD,SD,SD,SD,0,0,0,SD,0
KS,Elk,163,6,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Ellis,1896,238,6,2.50%,SD,SD,SD,SD,SD,0,0,0
KS,Ellsworth,321,43,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Finney,3641,517,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Ford,3371,861,8,0.90%,SD,SD,7,SD,0,0,0,0
KS,Franklin,1913,185,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Geary,4570,545,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Gove,210,8,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Graham,126,44,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Grant,662,79,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Gray,517,27,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Greeley,94,22,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Greenwood,370,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Hamilton,181,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Harper,413,41,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Harvey,2361,269,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Haskell,349,13,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Hodgeman,137,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Jackson,1062,70,SD,SD,SD,SD,SD,0,SD,0,0,0
KS,Jefferson,1208,70,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Jewell,180,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Johnson,45148,3636,19,0.50%,8,0.20%,11,SD,SD,0,SD,0
KS,Kearny,340,15,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Kingman,450,41,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Kiowa,199,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Labette,1562,137,8,5.80%,SD,SD,SD,SD,0,SD,0,0
KS,Lane,112,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Leavenworth,6377,789,10,1.30%,SD,SD,SD,SD,SD,0,SD,0
KS,Lincoln,189,35,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Linn,581,54,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Logan,259,34,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Lyon,2358,291,10,3.40%,SD,SD,7,SD,0,0,0,0
KS,McPherson,1896,255,7,2.70%,SD,SD,6,SD,0,0,0,0
KS,Marion,678,117,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Marshall,759,127,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Meade,351,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Miami,2433,181,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Mitchell,440,7,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Montgomery,2253,344,25,7.30%,9,2.60%,16,SD,SD,0,SD,0
KS,Morris,372,32,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Morton,163,9,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Nemaha,904,41,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Neosho,1195,120,SD,SD,SD,SD,SD,0,0,0,SD,0
KS,Ness,195,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Norton,334,57,SD,SD,SD,SD,SD,0,0,0,SD,0
KS,Osage,1047,76,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Osborne,239,8,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Ottawa,361,51,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Pawnee,297,56,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Phillips,372,20,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Pottawatomie,2249,134,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Pratt,698,77,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Rawlins,209,34,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Reno,4011,551,17,3.10%,SD,SD,13,SD,SD,0,0,0
KS,Republic,312,22,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Rice,643,70,6,8.60%,SD,SD,SD,SD,0,0,SD,0
KS,Riley,4679,407,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Rooks,363,19,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Rush,162,19,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Russell,486,56,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Saline,3957,681,40,5.90%,12,1.80%,28,7,SD,SD,SD,0
KS,Scott,358,57,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Sedgwick,41642,3484,46,1.30%,13,0.40%,33,7,SD,SD,SD,0
KS,Seward,2176,327,SD,SD,SD,SD,SD,SD,0,0,SD,0
KS,Shawnee,12703,1188,18,1.50%,SD,SD,16,SD,SD,0,0,0
KS,Sheridan,169,20,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Sherman,452,52,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Smith,246,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Stafford,310,23,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Stanton,153,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Stevens,434,42,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Sumner,1610,125,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Thomas,646,99,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Trego,169,18,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Wabaunsee,470,28,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Wallace,163,19,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Washington,473,35,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Wichita,154,14,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Wilson,624,51,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Woodson,185,11,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Wyandotte,15281,2641,43,1.60%,14,0.50%,29,12,SD,0,SD,0
KS,Unknown,0,534,8,1.50%,SD,SD,7,SD,0,0,0,0
LA,Acadia,5055,191,SD,SD,SD,SD,SD,SD,0,0,0,0
LA,Allen,1827,91,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Ascension,10692,713,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Assumption,1391,69,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Avoyelles,3115,300,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Beauregard,3212,96,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Bienville,934,67,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Bossier,10177,729,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Caddo,18120,1800,18,1.00%,8,0.40%,10,SD,SD,SD,SD,0
LA,Calcasieu,17368,363,SD,SD,SD,SD,SD,0,SD,0,0,0
LA,Caldwell,754,68,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Cameron,489,7,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Catahoula,618,36,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Claiborne,857,60,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Concordia,1440,131,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,De Soto,2016,152,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,East Baton Rouge,33973,2142,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,East Carroll,460,24,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,East Feliciana,1070,62,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Evangeline,2804,157,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Franklin,1587,151,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Grant,1511,87,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Iberia,5716,191,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Iberville,2171,86,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Jackson,962,90,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Jefferson,33347,2012,7,0.30%,SD,SD,6,SD,0,0,0,0
LA,Jefferson Davis,2534,137,SD,SD,SD,SD,SD,0,SD,0,0,0
LA,Lafayette,19637,379,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Lafourche,7225,198,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,La Salle,1088,108,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Lincoln,2989,243,SD,SD,SD,SD,0,0,0,SD,0,0
LA,Livingston,11500,578,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Madison,844,23,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Morehouse,1947,156,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Natchitoches,2772,198,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Orleans,26433,1694,12,0.70%,SD,SD,9,SD,SD,0,0,0
LA,Ouachita,12190,708,8,1.10%,SD,SD,7,0,0,SD,0,0
LA,Plaquemines,1824,59,0,0.00%,0,0.00%,0,0,0,0,0,0
