State,County,lat,lng
GA,Catoosa,34.9036,-85.1382
GA,Charlton,30.7817,-82.1379
GA,Chatham,32.0043,-81.1329
GA,Chattahoochee,32.347,-84.787
GA,Chattooga,34.475,-85.3453
GA,Cherokee,34.244,-84.4762
GA,Clarke,33.9512,-83.3673
GA,Clay,31.6262,-84.9801
GA,Clayton,33.542,-84.3576
GA,Clinch,30.915,-82.7063
GA,Cobb,33.9416,-84.5767
GA,Coffee,31.5493,-82.8492
GA,Colquitt,31.1884,-83.7688
GA,Columbia,33.5441,-82.2641
GA,Cook,31.154,-83.4305
GA,Coweta,33.3534,-84.7634
GA,Crawford,32.7145,-83.9863
GA,Crisp,31.9229,-83.7681
GA,Dade,34.8546,-85.5044
GA,Dawson,34.4443,-84.1706
GA,Decatur,30.8783,-84.5791
GA,DeKalb,33.7716,-84.2264
GA,Dodge,32.1722,-83.1684
GA,Dooly,32.1572,-83.7988
GA,Dougherty,31.5335,-84.2164
GA,Douglas,33.7019,-84.7679
GA,Early,31.3228,-84.9037
GA,Echols,30.7101,-82.894
GA,Effingham,32.3674,-81.3414
GA,Elbert,34.1168,-82.8401
GA,Emanuel,32.5897,-82.3017
GA,Evans,32.1568,-81.8869
GA,Fannin,34.8641,-84.3198
GA,Fayette,33.4139,-84.4943
GA,Floyd,34.2632,-85.2143
GA,Forsyth,34.2255,-84.1251
GA,Franklin,34.3754,-83.2291
GA,Fulton,33.7902,-84.467
GA,Gilmer,34.6912,-84.4556
GA,Glascock,33.2293,-82.6107
GA,Glynn,31.2309,-81.5407
GA,Gordon,34.5032,-84.8759
GA,Grady,30.8747,-84.2345
GA,Greene,33.5788,-83.1667
GA,Gwinnett,33.9619,-84.0236
GA,Habersham,34.631,-83.5311
GA,Hall,34.3171,-83.8195
GA,Hancock,33.2704,-83.0007
GA,Haralson,33.7942,-85.211
GA,Harris,32.736,-84.9089
GA,Hart,34.3509,-82.9642
GA,Heard,33.297,-85.1283
GA,Henry,33.453,-84.1542
GA,Houston,32.459,-83.6662
GA,Irwin,31.6022,-83.2764
GA,Jackson,34.1339,-83.5664
GA,Jasper,33.3165,-83.688
GA,Jeff Davis,31.8056,-82.6368
GA,Jefferson,33.0549,-82.4182
GA,Jenkins,32.7924,-81.9635
GA,Johnson,32.7015,-82.6601
GA,Jones,33.0251,-83.5605
GA,Lamar,33.0765,-84.1395
GA,Lanier,31.0379,-83.0628
GA,Laurens,32.4636,-82.9222
GA,Lee,31.7796,-84.1412
GA,Liberty,31.8282,-81.4949
GA,Lincoln,33.7936,-82.4512
GA,Long,31.7526,-81.7458
GA,Lowndes,30.8338,-83.2677
GA,Lumpkin,34.5722,-84.0027
GA,Macon,32.3584,-84.0425
GA,Madison,34.1278,-83.209
GA,Marion,32.3535,-84.5246
GA,McDuffie,33.4828,-82.4814
GA,McIntosh,31.4963,-81.4103
GA,Meriwether,33.0406,-84.6883
GA,Miller,31.164,-84.7308
GA,Mitchell,31.2253,-84.1943
GA,Monroe,33.0139,-83.9187
GA,Montgomery,32.1734,-82.5348
GA,Morgan,33.5909,-83.4923
GA,Murray,34.7884,-84.7481
GA,Muscogee,32.51,-84.8771
GA,Newton,33.555,-83.8502
GA,Oconee,33.835,-83.4371
GA,Oglethorpe,33.8807,-83.0807
GA,Paulding,33.9206,-84.8673
GA,Peach,32.5688,-83.8269
GA,Pickens,34.4643,-84.4656
GA,Pierce,31.3588,-82.2128
GA,Pike,33.0923,-84.3892
GA,Polk,34.0018,-85.1881
GA,Pulaski,32.2323,-83.476
GA,Putnam,33.3218,-83.3728
GA,Quitman,31.8673,-85.0188
GA,Rabun,34.8818,-83.402
GA,Randolph,31.7626,-84.7542
GA,Richmond,33.3596,-82.0736
GA,Rockdale,33.6542,-84.0266
GA,Schley,32.2617,-84.3148
GA,Screven,32.7506,-81.612
GA,Seminole,30.9388,-84.8688
GA,Spalding,33.2609,-84.2841
GA,Stephens,34.554,-83.2932
GA,Stewart,32.0785,-84.8352
