"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"0500000US48315","Marion County, Texas","5629","40","29","33","129","72","650","155","950","168","928","179","1272","236","1062","206","219","87","139","61","251","86",
"0500000US48317","Martin County, Texas","2109","75","0","20","245","105","290","128","53","32","208","95","393","122","475","149","264","116","91","57","90","61",
"0500000US48319","Mason County, Texas","2390","142","7","11","71","44","375","99","188","80","281","92","380","99","265","93","163","55","185","78","475","123",
"0500000US48321","Matagorda County, Texas","18549","54","6","9","969","221","1972","358","1650","396","3710","473","4003","492","3024","443","1815","312","574","206","826","242",
"0500000US48323","Maverick County, Texas","19851","72","24","37","2558","462","4138","603","3748","573","3464","498","2380","469","1877","388","688","204","318","118","656","248",
"0500000US48325","Medina County, Texas","19426","147","6","7","2728","348","4200","470","4033","496","1998","344","2174","498","1475","322","1180","248","588","191","1044","202",
"0500000US48327","Menard County, Texas","1476","120","0","14","71","47","90","46","112","72","172","77","241","86","142","59","141","50","169","69","338","91",
"0500000US48329","Midland County, Texas","68662","132","136","87","13556","1064","7499","1000","9994","1150","12393","1075","7301","747","5069","664","10049","738","1754","440","911","289",
"0500000US48331","Milam County, Texas","11519","60","9","8","984","169","1444","260","1609","287","1438","265","2069","333","1170","241","1535","283","343","148","918","182",
"0500000US48333","Mills County, Texas","2651","136","0","14","103","45","385","92","398","94","266","77","407","108","232","65","218","64","257","76","385","116",
"0500000US48335","Mitchell County, Texas","3721","231","4","7","123","78","58","38","67","39","366","155","480","148","428","156","902","203","464","237","829","206",
"0500000US48337","Montague County, Texas","10242","59","6","9","1171","251","1521","258","989","180","971","213","1585","257","1365","284","1144","249","647","163","843","179",
"0500000US48339","Montgomery County, Texas","233351","163","1499","518","55806","2074","67434","2573","43787","2129","29837","1552","23785","1527","5371","681","3164","576","989","316","1679","602",
"0500000US48341","Moore County, Texas","8171","38","0","27","401","168","695","238","937","218","1031","209","1477","244","1202","240","1619","324","581","193","228","95",
"0500000US48343","Morris County, Texas","5822","23","0","23","199","89","499","127","780","175","679","149","1190","252","1045","223","929","188","180","84","321","124",
"0500000US48345","Motley County, Texas","706","69","0","14","16","13","18","13","14","15","28","21","32","21","142","51","111","40","78","36","267","58",
"0500000US48347","Nacogdoches County, Texas","28787","297","0","34","2324","373","4371","460","4461","550","5691","541","5160","456","2264","327","2452","389","781","195","1283","266",
"0500000US48349","Navarro County, Texas","21196","93","45","40","1434","259","3403","376","3127","384","3254","393","3955","468","1858","319","1307","222","1181","288","1632","279",
"0500000US48351","Newton County, Texas","6486","42","20","29","979","204","790","183","1072","212","1086","207","1117","224","539","197","382","121","253","125","248","105",
