"GEO_ID","NAME","B25048_001E","B25048_001M","B25048_002E","B25048_002M","B25048_003E","B25048_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete plumbing facilities","Margin of Error!!Total:!!Complete plumbing facilities","Estimate!!Total:!!Lacking complete plumbing facilities","Margin of Error!!Total:!!Lacking complete plumbing facilities",
"0500000US08103","Rio Blanco County, Colorado","2488","143","2475","147","13","21",
"0500000US08105","Rio Grande County, Colorado","4616","241","4577","245","39","44",
"0500000US08107","Routt County, Colorado","10094","445","10094","445","0","24",
"0500000US08109","Saguache County, Colorado","2877","147","2799","148","78","50",
"0500000US08111","San Juan County, Colorado","326","50","322","50","4","6",
"0500000US08113","San Miguel County, Colorado","3594","184","3563","188","31","32",
"0500000US08115","Sedgwick County, Colorado","1020","94","1020","94","0","13",
"0500000US08117","Summit County, Colorado","11329","815","11315","818","14","22",
"0500000US08119","Teller County, Colorado","10557","385","10557","385","0","24",
"0500000US08121","Washington County, Colorado","2001","91","1985","95","16","15",
"0500000US08123","Weld County, Colorado","111222","620","110803","647","419","162",
"0500000US08125","Yuma County, Colorado","3884","144","3843","146","41","47",
"0500000US09001","Fairfield County, Connecticut","349443","1385","348134","1480","1309","448",
"0500000US09003","Hartford County, Connecticut","356529","1672","355371","1669","1158","297",
"0500000US09005","Litchfield County, Connecticut","74857","860","74448","889","409","183",
"0500000US09007","Middlesex County, Connecticut","68200","695","68092","700","108","85",
"0500000US09009","New Haven County, Connecticut","336400","1482","335140","1509","1260","290",
"0500000US09011","New London County, Connecticut","109481","850","108918","888","563","208",
"0500000US09013","Tolland County, Connecticut","56989","676","56879","678","110","87",
"0500000US09015","Windham County, Connecticut","45425","528","45305","530","120","81",
"0500000US10001","Kent County, Delaware","66720","606","66683","609","37","25",
"0500000US10003","New Castle County, Delaware","218002","882","217414","901","588","221",
"0500000US10005","Sussex County, Delaware","96375","1090","96176","1097","199","103",
"0500000US11001","District of Columbia, District of Columbia","310104","1722","309034","1736","1070","434",
"0500000US12001","Alachua County, Florida","105003","1128","104651","1124","352","151",
"0500000US12003","Baker County, Florida","8532","350","8532","350","0","27",
"0500000US12005","Bay County, Florida","72881","940","72634","910","247","130",
"0500000US12007","Bradford County, Florida","8967","495","8887","512","80","98",
"0500000US12009","Brevard County, Florida","242657","1780","242197","1778","460","176",
"0500000US12011","Broward County, Florida","732464","2763","730072","2867","2392","385",
"0500000US12013","Calhoun County, Florida","4495","268","4475","270","20","27",
"0500000US12015","Charlotte County, Florida","82755","1252","82434","1255","321","131",
"0500000US12017","Citrus County, Florida","65843","1174","65672","1175","171","95",
"0500000US12019","Clay County, Florida","77434","817","77348","812","86","76",
"0500000US12021","Collier County, Florida","153711","2198","153186","2234","525","380",
"0500000US12023","Columbia County, Florida","25728","462","25578","479","150","122",
