State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
FL,Okeechobee,2021,3034,882,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Orange,2021,99970,8999,43,0.50%,20,0.20%,23,10,SD,SD,SD,SD
FL,Osceola,2021,28491,2388,SD,SD,SD,SD,SD,SD,SD,0,0,0
FL,Palm Beach,2021,91469,8545,18,0.20%,6,0.10%,12,6,0,0,0,0
FL,Pasco,2021,35045,4023,7,0.20%,SD,SD,6,SD,0,0,0,0
FL,Pinellas,2021,48617,4238,7,0.20%,SD,SD,6,SD,0,0,0,0
FL,Polk,2021,51203,8058,9,0.10%,SD,SD,7,SD,0,0,0,0
FL,Putnam,2021,5117,264,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,St. Johns,2021,16510,468,11,2.40%,SD,SD,9,SD,0,SD,0,0
FL,St. Lucie,2021,20241,2486,6,0.20%,0,0.00%,6,0,0,0,0,0
FL,Santa Rosa,2021,12727,671,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Sarasota,2021,18264,1085,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Seminole,2021,29702,1004,6,0.60%,0,0.00%,6,0,0,0,0,0
FL,Sumter,2021,3053,370,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Suwannee,2021,2865,198,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Taylor,2021,1385,211,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Union,2021,994,93,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Volusia,2021,31076,1102,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Wakulla,2021,2141,169,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Walton,2021,5182,221,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Washington,2021,1639,44,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Unknown,2021,0,75,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Appling,2021,1411,222,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Atkinson,2021,712,109,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Bacon,2021,891,176,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Baker,2021,196,21,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Baldwin,2021,2501,360,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Banks,2021,1289,117,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Barrow,2021,6759,566,SD,SD,SD,SD,SD,0,0,0,0,SD
GA,Bartow,2021,8126,583,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Ben Hill,2021,1271,197,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Berrien,2021,1462,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Bibb,2021,11980,998,10,1.00%,SD,SD,8,SD,0,0,0,0
GA,Bleckley,2021,788,92,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Brantley,2021,1393,199,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Brooks,2021,1043,166,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Bryan,2021,3625,365,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Bulloch,2021,5462,1215,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Burke,2021,1813,266,SD,SD,SD,SD,SD,0,0,0,SD,0
GA,Butts,2021,1698,294,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Calhoun,2021,287,36,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Camden,2021,4585,451,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Candler,2021,842,178,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Carroll,2021,9315,1138,6,0.50%,0,0.00%,6,0,0,0,0,0
GA,Catoosa,2021,4331,290,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Charlton,2021,720,70,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Chatham,2021,20880,2966,25,0.80%,9,0.30%,16,SD,SD,SD,SD,SD
GA,Chattahoochee,2021,1038,184,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Chattooga,2021,1783,74,SD,SD,SD,SD,SD,0,SD,SD,SD,SD
GA,Cherokee,2021,18080,1230,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Clarke,2021,7557,978,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Clay,2021,197,20,SD,SD,SD,SD,0,0,SD,0,0,0
GA,Clayton,2021,25737,2654,8,0.30%,SD,SD,6,SD,0,0,0,0
GA,Clinch,2021,521,90,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Cobb,2021,54169,3891,17,0.40%,SD,SD,16,0,0,SD,0,0
GA,Coffee,2021,3494,449,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Colquitt,2021,3550,435,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Columbia,2021,12104,489,SD,SD,SD,SD,SD,0,0,SD,0,0
GA,Cook,2021,1337,132,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Coweta,2021,10459,600,SD,SD,SD,SD,SD,0,SD,0,0,0
GA,Crawford,2021,714,42,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Crisp,2021,1600,180,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Dade,2021,949,61,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Dawson,2021,1733,259,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Decatur,2021,2187,239,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,DeKalb,2021,61423,5461,39,0.70%,13,0.20%,26,9,SD,0,0,0
GA,Dodge,2021,1220,45,0,0.00%,0,0.00%,0,0,0,0,0,0
