State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
MO,Cooper,2021,1204,210,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Crawford,2021,1622,215,7,3.30%,SD,SD,SD,SD,SD,0,0,0
MO,Dade,2021,458,55,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Dallas,2021,1366,151,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Daviess,2021,710,102,SD,SD,SD,SD,0,SD,0,0,0,0
MO,DeKalb,2021,643,100,SD,SD,SD,SD,SD,SD,SD,0,0,0
MO,Dent,2021,1096,190,11,5.80%,SD,SD,7,SD,SD,0,0,0
MO,Douglas,2021,910,76,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Dunklin,2021,2406,314,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Franklin,2021,7416,591,7,1.20%,0,0.00%,7,0,0,0,0,0
MO,Gasconade,2021,940,129,SD,SD,SD,SD,SD,0,SD,0,0,0
MO,Gentry,2021,573,87,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Greene,2021,20499,2406,33,1.40%,7,0.30%,26,6,SD,0,0,0
MO,Grundy,2021,801,77,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Harrison,2021,591,77,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Henry,2021,1594,169,SD,SD,SD,SD,SD,SD,SD,0,0,0
MO,Hickory,2021,482,52,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Holt,2021,267,57,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Howard,2021,662,155,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Howell,2021,3083,257,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Iron,2021,642,133,16,12.00%,6,4.50%,10,SD,SD,SD,0,0
MO,Jackson,2021,54211,6490,128,2.00%,36,0.60%,92,17,9,6,SD,0
MO,Jasper,2021,9520,1479,20,1.40%,SD,SD,17,SD,SD,SD,0,0
MO,Jefferson,2021,15795,1186,6,0.50%,0,0.00%,6,0,0,0,0,0
MO,Johnson,2021,4068,179,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Knox,2021,327,34,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Laclede,2021,3004,462,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Lafayette,2021,2428,362,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Lawrence,2021,3140,479,SD,SD,SD,SD,SD,0,0,0,SD,0
MO,Lewis,2021,704,51,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Lincoln,2021,5098,490,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Linn,2021,831,158,SD,SD,SD,SD,SD,SD,SD,0,0,0
MO,Livingston,2021,1018,170,SD,SD,SD,SD,0,SD,SD,0,0,0
MO,McDonald,2021,1986,177,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Macon,2021,1059,165,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Madison,2021,829,113,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Maries,2021,503,81,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Marion,2021,2147,290,17,5.90%,6,2.10%,11,SD,SD,SD,SD,0
MO,Mercer,2021,279,26,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Miller,2021,1962,218,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Mississippi,2021,851,211,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Moniteau,2021,1230,159,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Monroe,2021,587,78,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Montgomery,2021,773,189,SD,SD,SD,SD,SD,SD,0,SD,0,0
MO,Morgan,2021,1593,145,SD,SD,SD,SD,0,SD,0,0,0,0
MO,New Madrid,2021,1266,259,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Newton,2021,4355,584,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Nodaway,2021,1162,179,6,3.40%,SD,SD,SD,SD,0,0,0,0
MO,Oregon,2021,718,94,SD,SD,SD,SD,SD,0,SD,0,0,0
MO,Osage,2021,910,101,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Ozark,2021,474,26,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Pemiscot,2021,1416,134,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Perry,2021,1321,80,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Pettis,2021,3518,575,11,1.90%,SD,SD,8,SD,0,0,0,0
MO,Phelps,2021,2920,499,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Pike,2021,1259,143,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Platte,2021,7755,571,18,3.20%,SD,SD,14,SD,SD,SD,0,0
MO,Polk,2021,2445,230,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Pulaski,2021,4258,386,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Putnam,2021,365,65,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Ralls,2021,613,77,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Randolph,2021,1709,244,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Ray,2021,1592,125,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Reynolds,2021,354,42,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Ripley,2021,965,127,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,St. Charles,2021,28015,1627,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,St. Clair,2021,659,32,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,St. Francois,2021,4344,553,21,3.80%,SD,SD,18,SD,SD,SD,0,0
MO,St. Louis,2021,70368,10785,118,1.10%,28,0.30%,90,12,10,SD,SD,0
MO,Saline,2021,1555,205,6,2.90%,SD,SD,SD,SD,0,0,0,0
MO,Schuyler,2021,425,39,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Scotland,2021,456,21,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Scott,2021,2957,539,6,1.10%,SD,SD,SD,SD,SD,0,0,0
MO,Shannon,2021,541,41,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Shelby,2021,456,82,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Stoddard,2021,1970,341,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Stone,2021,1595,182,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Sullivan,2021,500,148,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Taney,2021,3762,332,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Texas,2021,1679,177,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Vernon,2021,1504,154,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Warren,2021,2779,280,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Washington,2021,1708,170,11,6.50%,SD,SD,6,SD,0,0,0,0
MO,Wayne,2021,747,76,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Webster,2021,3623,385,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Worth,2021,122,32,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Wright,2021,1574,286,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,St. Louis (city),2021,21084,6340,293,4.60%,88,1.40%,205,48,19,6,12,SD
MO,Unknown,2021,0,124,SD,SD,0,0.00%,SD,0,0,0,0,0
NV,Churchill,2021,1989,133,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Clark,2021,168607,3097,10,0.30%,SD,SD,6,SD,SD,0,SD,0
NV,Douglas,2021,2030,58,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Elko,2021,4525,94,SD,SD,SD,SD,0,SD,0,0,0,0
NV,Esmeralda,2021,32,0,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Eureka,2021,107,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Humboldt,2021,1473,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Lander,2021,476,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Lincoln,2021,310,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Lyon,2021,3798,122,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Mineral,2021,292,9,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Nye,2021,2522,12,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Pershing,2021,363,6,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Storey,2021,125,0,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Washoe,2021,32861,359,SD,SD,SD,SD,SD,SD,0,0,0,0
NV,White Pine,2021,600,15,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Carson City (city),2021,3785,190,SD,SD,SD,SD,0,SD,0,0,0,0
NV,Unknown,2021,0,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NH,Belknap,2021,3146,395,8,2.00%,0,0.00%,8,0,0,0,0,0
NH,Carroll,2021,2131,203,SD,SD,0,0.00%,SD,0,0,0,0,0
NH,Cheshire,2021,4161,492,9,1.80%,SD,SD,8,0,0,0,SD,0
NH,Coos,2021,1529,169,SD,SD,SD,SD,SD,SD,SD,SD,0,0
NH,Grafton,2021,4265,495,7,1.40%,SD,SD,SD,SD,SD,0,0,0
NH,Hillsborough,2021,26101,4185,113,2.70%,21,0.50%,92,14,SD,SD,SD,0
NH,Merrimack,2021,8514,1061,16,1.50%,SD,SD,11,SD,0,SD,0,0
NH,Rockingham,2021,17242,2172,11,0.50%,SD,SD,9,SD,0,0,0,0
NH,Strafford,2021,7065,720,20,2.80%,SD,SD,16,SD,SD,SD,0,0
NH,Sullivan,2021,2375,335,9,2.70%,SD,SD,7,SD,0,0,SD,0
NH,Unknown,2021,0,6094,109,1.80%,39,0.60%,70,19,7,SD,6,SD
NJ,Atlantic,2021,16873,1173,24,2.00%,10,0.90%,14,8,SD,SD,0,0
NJ,Bergen,2021,58763,3508,51,1.50%,11,0.30%,40,8,SD,0,0,0
NJ,Burlington,2021,27540,1264,12,0.90%,SD,SD,9,SD,0,SD,SD,0
NJ,Camden,2021,37087,1515,25,1.70%,SD,SD,20,SD,0,SD,0,0
NJ,Cape May,2021,4971,228,SD,SD,SD,SD,SD,SD,0,0,SD,0
NJ,Cumberland,2021,11243,784,42,5.40%,12,1.50%,30,7,SD,SD,0,0
NJ,Essex,2021,63279,6887,314,4.60%,70,1.00%,244,43,11,9,7,0
NJ,Gloucester,2021,18194,607,9,1.50%,SD,SD,6,0,0,SD,SD,0
NJ,Hudson,2021,54059,4270,100,2.30%,27,0.60%,73,15,6,SD,SD,0
NJ,Hunterdon,2021,6446,572,7,1.20%,0,0.00%,7,0,0,0,0,0
NJ,Mercer,2021,24774,1687,85,5.00%,14,0.80%,71,10,SD,0,SD,0
NJ,Middlesex,2021,56185,4431,85,1.90%,22,0.50%,63,13,7,SD,SD,0
NJ,Monmouth,2021,37236,1731,27,1.60%,10,0.60%,17,6,SD,SD,SD,0
NJ,Morris,2021,29536,1877,31,1.70%,12,0.60%,19,7,SD,SD,SD,0
NJ,Ocean,2021,53190,2930,17,0.60%,SD,SD,14,SD,SD,0,0,0
NJ,Passaic,2021,39734,3783,135,3.60%,27,0.70%,108,15,SD,SD,SD,SD
NJ,Salem,2021,4050,206,14,6.80%,SD,SD,9,SD,SD,0,0,0
NJ,Somerset,2021,20321,1219,15,1.20%,SD,SD,10,SD,SD,0,0,0
NJ,Sussex,2021,7752,362,SD,SD,0,0.00%,SD,0,0,0,0,0
NJ,Union,2021,42278,3575,116,3.20%,32,0.90%,84,16,SD,SD,8,0
NJ,Warren,2021,5990,303,7,2.30%,SD,SD,6,0,SD,0,0,0
NJ,Unknown,2021,0,205,6,2.90%,SD,SD,SD,SD,SD,SD,0,0
NY,Albany,2021,17940,3779,168,4.40%,58,1.50%,110,32,11,8,SD,SD
NY,Allegany,2021,2921,678,32,4.70%,7,1.00%,25,SD,SD,0,SD,SD
NY,Bronx,2021,117441,46565,413,0.90%,0,0.00%,413,0,0,0,0,0
NY,Broome,2021,11605,2087,55,2.60%,13,0.60%,42,6,SD,SD,SD,SD
NY,Cattaraugus,2021,5196,1190,85,7.10%,26,2.20%,59,21,SD,0,SD,0
NY,Cayuga,2021,4467,1012,50,4.90%,20,2.00%,30,14,SD,SD,SD,0
NY,Chautauqua,2021,8153,1733,124,7.20%,45,2.60%,79,26,9,8,SD,SD
NY,Chemung,2021,5429,970,29,3.00%,16,1.60%,13,9,SD,SD,SD,SD
NY,Chenango,2021,2938,685,40,5.80%,10,1.50%,30,7,SD,0,SD,0
NY,Clinton,2021,4563,880,10,1.10%,SD,SD,SD,SD,SD,0,SD,0
NY,Columbia,2021,2909,651,30,4.60%,8,1.20%,22,SD,SD,SD,SD,0
NY,Cortland,2021,2852,460,25,5.40%,SD,SD,21,SD,0,0,0,0
NY,Delaware,2021,2141,619,41,6.60%,15,2.40%,26,9,SD,SD,SD,0
NY,Dutchess,2021,16198,4390,76,1.70%,22,0.50%,54,11,6,0,SD,0
NY,Erie,2021,60103,16006,809,5.10%,299,1.90%,510,156,64,36,37,6
NY,Essex,2021,1751,297,SD,SD,0,0.00%,SD,0,0,0,0,0
NY,Franklin,2021,2890,491,8,1.60%,SD,SD,6,SD,0,0,0,0
NY,Fulton,2021,3171,798,81,10.20%,21,2.60%,60,9,7,SD,SD,0
NY,Genesee,2021,3591,689,16,2.30%,SD,SD,13,0,SD,SD,0,0
NY,Greene,2021,2449,569,18,3.20%,6,1.10%,12,SD,SD,0,0,0
NY,Hamilton,2021,154,38,SD,SD,0,0.00%,SD,0,0,0,0,0
NY,Herkimer,2021,3720,845,70,8.30%,18,2.10%,52,12,SD,SD,SD,0
NY,Jefferson,2021,9642,2151,57,2.60%,8,0.40%,49,SD,SD,SD,0,0
NY,Kings,2021,212755,81877,811,1.00%,0,0.00%,811,0,0,0,0,0
NY,Lewis,2021,1956,415,24,5.80%,6,1.40%,18,6,0,0,0,0
NY,Livingston,2021,3177,732,23,3.10%,SD,SD,18,SD,SD,0,0,0
NY,Madison,2021,4095,778,26,3.30%,7,0.90%,19,SD,SD,SD,SD,0
NY,Monroe,2021,48316,10733,257,2.40%,88,0.80%,169,41,19,10,17,SD
NY,Montgomery,2021,3731,806,70,8.70%,20,2.50%,50,10,SD,SD,SD,0
NY,Nassau,2021,89077,29431,146,0.50%,36,0.10%,110,24,6,SD,SD,0
NY,New York,2021,87726,27025,128,0.50%,0,0.00%,128,0,0,0,0,0
NY,Niagara,2021,13073,3070,75,2.40%,32,1.00%,43,14,11,6,0,SD
NY,Oneida,2021,15211,3509,294,8.40%,85,2.40%,209,42,17,8,14,SD
NY,Onondaga,2021,31453,7989,368,4.60%,100,1.30%,268,65,16,10,6,SD
NY,Ontario,2021,6446,1370,31,2.30%,15,1.10%,16,8,SD,SD,SD,0
NY,Orange,2021,31335,6055,103,1.70%,37,0.60%,66,23,SD,7,SD,0
NY,Orleans,2021,2333,461,25,5.40%,10,2.20%,15,7,SD,SD,0,SD
NY,Oswego,2021,7582,1702,32,1.90%,9,0.50%,23,SD,SD,SD,SD,0
NY,Otsego,2021,2923,754,35,4.60%,7,0.90%,28,SD,SD,SD,0,0
NY,Putnam,2021,5459,1470,11,0.70%,SD,SD,7,SD,SD,SD,0,0
NY,Queens,2021,158990,69825,607,0.90%,0,0.00%,607,0,0,0,0,0
NY,Rensselaer,2021,9606,1844,92,5.00%,22,1.20%,70,11,7,SD,SD,SD
NY,Richmond,2021,32549,12563,83,0.70%,0,0.00%,83,0,0,0,0,0
NY,Rockland,2021,32812,8503,60,0.70%,20,0.20%,40,13,SD,SD,SD,SD
NY,St. Lawrence,2021,6541,1201,58,4.80%,11,0.90%,47,8,SD,SD,SD,0
NY,Saratoga,2021,13499,3125,30,1.00%,10,0.30%,20,9,0,0,SD,0
NY,Schenectady,2021,11128,2222,76,3.40%,24,1.10%,52,11,8,SD,SD,0
NY,Schoharie,2021,1628,347,16,4.60%,8,2.30%,8,SD,SD,SD,0,0
NY,Schuyler,2021,1058,201,8,4.00%,SD,SD,SD,SD,SD,0,0,0
NY,Seneca,2021,2183,329,8,2.40%,SD,SD,6,0,SD,SD,0,0
NY,Steuben,2021,6329,1478,24,1.60%,SD,SD,19,SD,0,0,SD,0
NY,Suffolk,2021,95114,24378,95,0.40%,24,0.10%,71,16,SD,SD,SD,SD
NY,Sullivan,2021,5455,1107,18,1.60%,SD,SD,14,SD,SD,SD,0,0
NY,Tioga,2021,2821,596,13,2.20%,SD,SD,12,SD,0,0,0,0
NY,Tompkins,2021,4510,937,15,1.60%,6,0.60%,9,SD,0,0,SD,0
NY,Ulster,2021,9371,2272,67,2.90%,21,0.90%,46,15,SD,0,SD,0
NY,Warren,2021,3369,814,21,2.60%,9,1.10%,12,8,SD,0,0,0
NY,Washington,2021,3391,713,53,7.40%,12,1.70%,41,SD,SD,SD,SD,0
NY,Wayne,2021,5933,1256,27,2.10%,14,1.10%,13,10,SD,SD,0,0
NY,Westchester,2021,63697,19920,269,1.40%,74,0.40%,195,42,13,12,6,SD
NY,Wyoming,2021,2215,501,24,4.80%,7,1.40%,17,SD,SD,0,SD,0
NY,Yates,2021,1882,274,17,6.20%,7,2.60%,10,SD,SD,SD,SD,0
NY,Unknown,2021,0,521,7,1.30%,SD,SD,SD,SD,0,SD,0,0
NC,Alamance,2021,11952,2078,13,0.60%,SD,SD,8,SD,SD,0,0,SD
NC,Alexander,2021,2233,472,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Alleghany,2021,595,108,SD,SD,SD,SD,0,0,SD,0,0,0
NC,Anson,2021,1558,240,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Ashe,2021,1272,283,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Avery,2021,832,150,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Beaufort,2021,2695,650,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Bertie,2021,979,240,SD,SD,SD,SD,SD,SD,SD,SD,0,0
NC,Bladen,2021,2011,420,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Brunswick,2021,6620,1110,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Buncombe,2021,15118,2645,9,0.30%,SD,SD,SD,SD,SD,SD,SD,0
NC,Burke,2021,5190,1027,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Cabarrus,2021,16820,2442,13,0.50%,SD,SD,9,SD,SD,0,0,0
NC,Caldwell,2021,5090,1107,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Camden,2021,675,119,SD,SD,SD,SD,0,0,SD,0,0,0
NC,Carteret,2021,3269,446,SD,SD,SD,SD,0,SD,0,0,0,0
NC,Caswell,2021,1340,228,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Catawba,2021,10729,2116,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Chatham,2021,4252,643,SD,SD,SD,SD,SD,SD,0,SD,0,0
NC,Cherokee,2021,1420,110,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Chowan,2021,816,115,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Clay,2021,586,61,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Cleveland,2021,6919,863,SD,SD,SD,SD,SD,SD,SD,0,SD,0
NC,Columbus,2021,3449,653,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Craven,2021,7484,1925,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Cumberland,2021,29994,4667,14,0.30%,SD,SD,13,0,0,SD,0,0
NC,Currituck,2021,1931,196,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Dare,2021,1951,327,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Davidson,2021,11095,2523,13,0.50%,SD,SD,10,SD,0,0,0,0
NC,Davie,2021,2597,528,SD,SD,SD,SD,SD,0,0,0,SD,0
NC,Duplin,2021,4334,801,SD,SD,SD,SD,SD,0,SD,0,0,0
NC,Durham,2021,23904,4238,12,0.30%,0,0.00%,12,0,0,0,0,0
NC,Edgecombe,2021,3508,810,8,1.00%,SD,SD,SD,0,SD,SD,SD,0
NC,Forsyth,2021,26873,5744,31,0.50%,15,0.30%,16,11,SD,0,SD,0
NC,Franklin,2021,4798,951,8,0.80%,SD,SD,SD,SD,SD,0,0,0
NC,Gaston,2021,15964,2173,7,0.30%,0,0.00%,7,0,0,0,0,0
NC,Gates,2021,634,94,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Graham,2021,506,76,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Granville,2021,3744,597,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Greene,2021,1300,326,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Guilford,2021,37566,8048,18,0.20%,6,0.10%,12,SD,SD,SD,0,0
NC,Halifax,2021,3278,719,6,0.80%,6,0.80%,0,SD,SD,0,0,SD
NC,Harnett,2021,11779,2007,12,0.60%,SD,SD,9,SD,SD,0,0,0
NC,Haywood,2021,3554,545,SD,SD,SD,SD,0,SD,0,0,SD,0
NC,Henderson,2021,6759,1096,SD,SD,SD,SD,0,0,0,0,SD,0
NC,Hertford,2021,1221,265,SD,SD,SD,SD,0,0,0,0,SD,0
NC,Hoke,2021,5383,909,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Hyde,2021,204,31,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Iredell,2021,12247,1992,9,0.50%,SD,SD,6,0,SD,SD,SD,0
NC,Jackson,2021,2319,288,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Johnston,2021,16263,2884,11,0.40%,SD,SD,9,0,SD,0,0,0
NC,Jones,2021,534,132,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Lee,2021,4748,1103,7,0.60%,SD,SD,SD,SD,0,0,0,SD
NC,Lenoir,2021,3764,988,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Lincoln,2021,5427,747,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,McDowell,2021,2695,452,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Macon,2021,2033,234,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Madison,2021,1191,173,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Martin,2021,1456,341,SD,SD,SD,SD,0,0,SD,0,0,0
NC,Mecklenburg,2021,87931,10341,59,0.60%,18,0.20%,41,11,SD,SD,SD,SD
NC,Mitchell,2021,844,107,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Montgomery,2021,1736,391,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Moore,2021,7359,1359,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Nash,2021,6386,1700,9,0.50%,SD,SD,6,SD,SD,0,0,0
NC,New Hanover,2021,13157,2321,10,0.40%,SD,SD,8,SD,SD,0,0,0
NC,Northampton,2021,1092,215,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Onslow,2021,19590,3230,12,0.40%,SD,SD,9,SD,0,0,0,0
NC,Orange,2021,7666,1157,SD,SD,SD,SD,SD,0,0,0,SD,0
NC,Pamlico,2021,550,136,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Pasquotank,2021,2899,749,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Pender,2021,4339,708,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Perquimans,2021,747,161,SD,SD,SD,SD,SD,0,SD,0,SD,0
NC,Person,2021,2518,418,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Pitt,2021,12325,2549,8,0.30%,SD,SD,6,SD,0,0,0,0
NC,Polk,2021,940,112,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Randolph,2021,9730,2304,8,0.30%,SD,SD,7,0,0,0,SD,0
NC,Richmond,2021,3271,545,6,1.10%,SD,SD,SD,SD,SD,0,0,0
NC,Robeson,2021,10231,2750,9,0.30%,SD,SD,7,0,SD,SD,0,0
NC,Rockingham,2021,5588,696,8,1.10%,SD,SD,6,0,SD,SD,0,0
NC,Rowan,2021,9902,1771,8,0.50%,SD,SD,7,0,0,SD,0,0
NC,Rutherford,2021,4092,414,SD,SD,SD,SD,SD,SD,0,SD,0,0
NC,Sampson,2021,4970,1100,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Scotland,2021,2757,402,SD,SD,SD,SD,0,SD,0,0,0,0
NC,Stanly,2021,4319,886,SD,SD,SD,SD,SD,0,SD,0,0,0
NC,Stokes,2021,2531,481,SD,SD,SD,SD,0,SD,0,0,0,0
NC,Surry,2021,4625,676,6,0.90%,SD,SD,SD,SD,0,SD,0,0
NC,Swain,2021,1026,181,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Transylvania,2021,1607,320,0,0.00%,0,0.00%,0,0,0,0,0,0
NC,Tyrrell,2021,220,46,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Union,2021,16630,2165,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Vance,2021,3369,490,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Wake,2021,81340,12137,39,0.30%,12,0.10%,27,7,SD,0,SD,0
NC,Warren,2021,1004,183,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Washington,2021,721,137,SD,SD,0,0.00%,SD,0,0,0,0,0
NC,Watauga,2021,2108,478,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Wayne,2021,9749,2254,9,0.40%,SD,SD,SD,SD,0,0,SD,0
NC,Wilkes,2021,4112,765,SD,SD,SD,SD,0,SD,0,SD,SD,0
NC,Wilson,2021,5865,1413,15,1.10%,6,0.40%,9,SD,SD,0,0,0
NC,Yadkin,2021,2392,468,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Yancey,2021,1049,189,SD,SD,SD,SD,SD,SD,0,0,0,0
NC,Unknown,2021,0,41,16,39.00%,8,19.50%,8,SD,SD,0,SD,0
OK,Adair,2021,1921,208,0,0.00%,0,0.00%,0,0,0,0,0,0
OK,Alfalfa,2021,331,16,SD,SD,0,0.00%,SD,0,0,0,0,0
OK,Atoka,2021,998,113,0,0.00%,0,0.00%,0,0,0,0,0,0
OK,Beaver,2021,361,18,0,0.00%,0,0.00%,0,0,0,0,0,0
OK,Beckham,2021,1753,99,SD,SD,0,0.00%,SD,0,0,0,0,0
OK,Blaine,2021,765,35,0,0.00%,0,0.00%,0,0,0,0,0,0
OK,Bryan,2021,3806,470,6,1.30%,0,0.00%,6,0,0,0,0,0
OK,Caddo,2021,2261,215,SD,SD,0,0.00%,SD,0,0,0,0,0
OK,Canadian,2021,12328,1191,SD,SD,0,0.00%,SD,0,0,0,0,0
OK,Carter,2021,4035,410,SD,SD,SD,SD,SD,SD,0,0,0,0
OK,Cherokee,2021,3362,577,SD,SD,0,0.00%,SD,0,0,0,0,0
OK,Choctaw,2021,1210,159,0,0.00%,0,0.00%,0,0,0,0,0,0
OK,Cimarron,2021,172,10,0,0.00%,0,0.00%,0,0,0,0,0,0
OK,Cleveland,2021,17885,1859,SD,SD,SD,SD,SD,SD,0,0,0,0
OK,Coal,2021,471,42,SD,SD,0,0.00%,SD,0,0,0,0,0
