NAME,DP04_0073PE,DP04_0073PM,DP04_0074PE,DP04_0074PM,DP04_0075PE,DP04_0075PM
Geographic Area Name,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available
"Alameda County, California",0.4,0.1,0.8,0.1,0.8,0.1
"Alpine County, California",0,8.8,0,8.8,0.2,0.6
"Amador County, California",0.2,0.2,1,0.7,1.2,0.7
"Butte County, California",0.5,0.2,0.7,0.2,1.3,0.3
"Calaveras County, California",0.5,0.5,0.1,0.2,0.9,0.6
"Colusa County, California",0.7,0.7,0.6,0.5,1.2,0.9
"Contra Costa County, California",0.4,0.1,0.8,0.1,0.8,0.1
"Del Norte County, California",0.4,0.4,0.8,0.5,1.2,0.7
"El Dorado County, California",0.2,0.1,0.4,0.2,1.4,0.4
"Fresno County, California",0.3,0.1,0.9,0.1,1.5,0.2
"Glenn County, California",1.4,0.8,0.5,0.3,1.5,0.8
"Humboldt County, California",0.4,0.1,0.9,0.3,1.6,0.5
"Imperial County, California",0.5,0.3,0.7,0.2,1.5,0.5
"Inyo County, California",1.5,0.9,2,1.1,1.3,0.6
"Kern County, California",0.4,0.1,1,0.1,1.1,0.2
"Kings County, California",0,0.1,0.4,0.2,1.4,0.4
"Lake County, California",0.6,0.4,1,0.4,1.2,0.5
"Lassen County, California",0.6,0.5,0.8,0.6,1.8,0.9
"Los Angeles County, California",0.5,0.1,1.6,0.1,1.1,0.1
"Madera County, California",0.3,0.2,0.5,0.3,1.1,0.4
"Marin County, California",0.3,0.1,0.9,0.2,0.8,0.2
"Mariposa County, California",1.6,0.8,2.9,1.3,1.2,0.8
"Mendocino County, California",0.9,0.5,1.1,0.5,1.3,0.4
"Merced County, California",0.4,0.1,0.4,0.2,0.7,0.2
"Modoc County, California",0,1.2,0.2,0.4,1.3,1.3
"Mono County, California",3.7,4.3,3.7,4.3,0.9,0.8
"Monterey County, California",0.3,0.1,0.5,0.2,0.9,0.2
"Napa County, California",0.4,0.2,1.2,0.4,0.3,0.1
"Nevada County, California",0.3,0.2,0.6,0.3,1.1,0.6
"Orange County, California",0.2,0.1,1.3,0.1,1,0.1
"Placer County, California",0.1,0.1,0.7,0.1,0.6,0.1
"Plumas County, California",0.2,0.3,0.4,0.4,0.8,0.6
"Riverside County, California",0.3,0.1,0.7,0.1,1.3,0.1
"Sacramento County, California",0.3,0.1,0.8,0.1,1,0.1
"San Benito County, California",0.3,0.3,0.2,0.2,0.7,0.5
"San Bernardino County, California",0.3,0.1,1,0.1,1.1,0.1
"San Diego County, California",0.3,0.1,0.7,0.1,1,0.1
"San Francisco County, California",2,0.2,3.5,0.3,1.1,0.1
"San Joaquin County, California",0.4,0.1,0.9,0.2,0.8,0.1
"San Luis Obispo County, California",0.2,0.1,0.8,0.2,0.9,0.2
"San Mateo County, California",0.2,0.1,1,0.2,0.9,0.1
"Santa Barbara County, California",0.3,0.1,1.3,0.3,1,0.2
"Santa Clara County, California",0.3,0.1,0.9,0.1,0.8,0.1
"Santa Cruz County, California",0.4,0.1,1,0.3,0.7,0.3
"Shasta County, California",0.6,0.3,1.5,0.3,1.1,0.3
"Sierra County, California",0.3,0.6,0.3,0.6,0,3.4
"Siskiyou County, California",0.5,0.2,0.7,0.4,1.1,0.4
"Solano County, California",0.3,0.1,0.5,0.1,0.9,0.2
"Sonoma County, California",0.5,0.2,0.9,0.2,1,0.2
"Stanislaus County, California",0.4,0.2,0.8,0.2,0.9,0.2
"Sutter County, California",0.4,0.2,0.9,0.3,1,0.3
"Tehama County, California",1.4,0.7,1.4,0.6,1.8,0.7
"Trinity County, California",1.8,1.4,2.3,1.5,3.9,1.7
"Tulare County, California",0.3,0.2,0.7,0.2,1.3,0.3
"Tuolumne County, California",0.3,0.2,1.1,0.7,0.9,0.4
"Ventura County, California",0.3,0.1,1,0.1,0.9,0.1
"Yolo County, California",0.5,0.3,1,0.4,1,0.3
